nom site,Polluant,valeur brute
Drôme Rurale Sud-SND,NO2,1.7512823076923079
Drôme Rurale Sud-SND,NOX as NO2,3.1108976923076925
Drôme Rurale Sud-SND,O3,60.13782
Drôme Rurale Sud-SND,PM10,2.2711538461538456
Drôme Rurale Sud-SND,PM2.5,1.4
ECOLE M.JACQUIER,NO,0.2903846153846154
ECOLE M.JACQUIER,NO2,6.0307692307692315
ECOLE M.JACQUIER,NOX as NO2,6.476923076923077
ECOLE M.JACQUIER,O3,62.969871538461526
ECOLE M.JACQUIER,PM10,3.3480769230769236
EISENHOWER SETMI,PM10,3.897916666666667
EPINETTES,O3,25.06041666666667
ESTEREL,NO,0.6326923076923077
ESTEREL,NO2,3.251282307692308
ESTEREL,NOX as NO2,4.21859
ESTEREL,O3,54.591666923076914
ESTEREL,PM10,6.118750000000001
ESTEREL,PM2.5,1.710416666666667
EVRY,NO,6.690384615384615
EVRY,NO2,28.992307692307698
EVRY,NOX as NO2,39.24807692307692
Ecole JOINVILLE,NO,3.71875
Ecole JOINVILLE,NO2,3.9015625000000003
Ecole JOINVILLE,NOX as NO2,9.6234375
Ecole JOINVILLE,O3,34.8734375
Ecole JOINVILLE,PM10,12.486666666666668
Ecole JOINVILLE,PM2.5,7.066666666666668
Ecole JOINVILLE,SO2,0.35312499999999997
Ecole La Marine,NO,2.59375
Ecole La Marine,NO2,5.1734374999999995
Ecole La Marine,NOX as NO2,9.1625
Ecole La Marine,SO2,1.0093750000000001
Ecole de Carling(9),NO,2.7027777777777775
Ecole de Carling(9),NO2,17.283333333333335
Ecole de Carling(9),NOX as NO2,21.42222222222222
Ecole de Carling(9),PM10,5.603125000000001
Ecole de Carling(9),SO2,0.0
Edouard Michelin,NO,17.607692307692307
Edouard Michelin,NO2,31.944230769230764
Epinal,NO,0.6461538461538461
Epinal,NO2,2.763461538461539
Epinal,NOX as NO2,3.755769230769231
Epinal,O3,39.016666666666666
Epinal,PM10,7.718749999999999
Espace du Palais,NO,7.526923076923078
Espace du Palais,NO2,30.734615384615385
Espace du Palais,NOX as NO2,42.1653846153846
Espace du Palais,O3,22.96346153846154
Espace du Palais,PM10,10.365384615384615
Espace du Palais,PM2.5,7.671153846153847
Espace du Palais,SO2,1.3365384615384615
Etang Zabricot,SO2,3.0166666666666666
Evreux Centre,NO,0.5461538461538462
Evreux Centre,NO2,13.090384615384616
Evreux Centre,NOX as NO2,13.859615384615385
Evreux Centre,O3,26.861538461538462
Evreux Centre,PM10,7.388461538461538
Evreux Centre,PM2.5,5.186538461538461
FEYZIN STADE,C6H6,5.1274999999999995
FEYZIN STADE,PM10,11.7875
FEYZIN STADE,SO2,6.14423076923077
FRERES GONCOURT,C6H6,3.4100000000000006
FRERES GONCOURT,CO,137.95166666666668
FRERES GONCOURT,NO,7.541666666666665
FRERES GONCOURT,NO2,17.785416666666666
FRERES GONCOURT,NOX as NO2,29.279166666666672
FRERES GONCOURT,PM10,5.2562500000000005
FRERES GONCOURT,PM2.5,7.0930558333333344
FROSSAY,NO,1.9666666666666668
FROSSAY,NO2,4.812499999999999
FROSSAY,NOX as NO2,7.833333333333332
FROSSAY,PM10,10.083333333333334
FROSSAY,SO2,-1.5951391666666668
Faiencerie Creil,CO,3.8461538461538463
Faiencerie Creil,NO,5.390384615384615
Faiencerie Creil,NO2,15.540384615384616
Faiencerie Creil,NOX as NO2,23.800000000000004
Faiencerie Creil,O3,27.63333307692308
Faverolles,O3,29.10576923076923
Fillé,O3,12.947916666666666
Fléville,PM10,10.716666666666667
Fos Les Carabins,PM2.5,4.322916666666667
